name,title
COMP 1010,Introductory Computer Science 1
COMP 1012,Computer Science for Scientists and Engineers
COMP 1020,Introductory Computer Science 2
COMP 1500,Computing: Ideas and Innovation
COMP 1600,Navigating Your Digital World
